Time	Position	Counts	Elapsed	USecs
13:19:00 722041	110.057	220114	6377434.681	6377434702
13:19:00 753969	110.524	221048	6377466.609	6377466631
13:19:00 786000	111.0065	222013	6377498.64	6377498660
13:19:00 817959	111.478	222956	6377530.599	6377530621
13:19:00 849912	111.9725	223945	6377562.552	6377562607
13:19:00 881826	112.444	224888	6377594.466	6377594490
13:19:00 913778	112.9265	225853	6377626.418	6377626446
13:19:00 945830	113.402	226804	6377658.47	6377658492
13:19:00 977729	113.8805	227761	6377690.369	6377690396
13:19:01 9666	114.36	228720	6377722.306	6377722334
13:19:01 41629	114.835	229670	6377754.269	6377754296
13:19:01 73639	115.318	230636	6377786.279	6377786302
13:19:01 105533	115.8005	231601	6377818.173	6377818198
13:19:01 137500	116.265	232530	6377850.14	6377850165
13:19:01 169456	116.7475	233495	6377882.096	6377882119
13:19:01 201447	117.2265	234453	6377914.087	6377914109
13:19:01 233393	117.697	235394	6377946.033	6377946054
13:19:01 265395	118.1805	236361	6377978.035	6377978058
13:19:01 297342	118.6555	237311	6378009.982	6378010006
13:19:01 329270	119.1385	238277	6378041.91	6378041925
13:19:01 361249	119.621	239242	6378073.889	6378073934
13:19:01 393140	120.0965	240193	6378105.78	6378105808
13:19:01 425121	120.5715	241143	6378137.761	6378137784
13:19:01 457140	121.047	242094	6378169.78	6378169806
13:19:01 489046	121.5295	243059	6378201.686	6378201707
13:19:01 521031	122.0045	244009	6378233.671	6378233698
13:19:01 552974	122.4875	244975	6378265.614	6378265632
13:19:01 584909	122.97	245940	6378297.549	6378297575
13:19:01 616909	123.4415	246883	6378329.549	6378329573
13:19:01 648891	123.9165	247833	6378361.531	6378361553
13:19:01 680826	124.399	248798	6378393.466	6378393508
13:19:01 712856	124.89	249780	6378425.496	6378425518
13:19:01 744827	125.3615	250723	6378457.467	6378457493
13:19:01 776706	125.8365	251673	6378489.346	6378489389
13:19:01 808664	126.319	252638	6378521.304	6378521346
13:19:01 840630	126.7905	253581	6378553.27	6378553299
13:19:01 872669	127.281	254562	6378585.309	6378585346
13:19:01 904615	127.749	255498	6378617.255	6378617278
13:19:01 936583	128.228	256456	6378649.223	6378649244
